cohort,ordered_tests,completed_tests,cancelled_tests,cancellation_rate,median_hours_order_to_collect,median_hours_collect_to_receipt,median_hours_receipt_to_verified,median_hours_order_to_verified
Weekday,191460,180776,8195,0.0428,0.167,0.433,0.583,1.75
Weekend,38785,36708,1754,0.0452,0.383,0.267,0.483,1.1
